Date,TempF,TempK,Humidity,HrsDaylight
2006-01-01,37.7,276.3166667,75.2,9
2006-01-02,42.2,278.8166667,73.7,9.04
2006-01-03,37.9,276.4277778,85.2,9.08
2006-01-04,34.3,274.4277778,70.4,9.12
2006-01-05,42.5,278.9833333,76.5,9.16
2006-01-06,38,276.4833333,61.6,9.2
2006-01-07,31,272.5944444,49.8,9.24
2006-01-08,40.8,278.0388889,56,9.28
2006-01-09,50,283.15,60,9.32
2006-01-10,44.6,280.15,55.6,9.36
2006-01-11,45.5,280.65,86.2,9.4
2006-01-12,51.9,284.2055556,54.7,9.44
2006-01-13,45.9,280.8722222,89.4,9.48
2006-01-14,51.6,284.0388889,90.3,9.52
2006-01-15,26,269.8166667,59.4,9.56
2006-01-16,24.6,269.0388889,44.1,9.6
2006-01-17,43.7,279.65,78.7,9.64
2006-01-18,51,283.7055556,75.4,9.68
2006-01-19,41.2,278.2611111,46.8,9.72
2006-01-20,50.7,283.5388889,49.7,9.76
2006-01-21,49,282.5944444,54.2,9.8
2006-01-22,38.4,276.7055556,42.3,9.84
2006-01-23,39.4,277.2611111,84.9,9.88
2006-01-24,41.5,278.4277778,58.5,9.92
2006-01-25,40,277.5944444,60.6,9.96
2006-01-26,32,273.15,52.6,10
2006-01-27,34.1,274.3166667,40.8,10.04
2006-01-28,47.7,281.8722222,35,10.08
2006-01-29,46.8,281.3722222,74.8,10.12
2006-01-30,47.9,281.9833333,81.8,10.16
2006-01-31,40.6,277.9277778,83.7,10.2
2006-02-01,39.7,277.4277778,54.3,10.24
2006-02-02,44.8,280.2611111,66.3,10.28
2006-02-03,54.2,285.4833333,76,10.32
2006-02-04,44.8,280.2611111,85,10.36
2006-02-05,47.9,281.9833333,66.4,10.4
2006-02-06,38,276.4833333,41,10.44
2006-02-07,37.7,276.3166667,44.4,10.48
2006-02-08,33,273.7055556,51.2,10.52
2006-02-09,30.8,272.4833333,41,10.56
2006-02-10,33.4,273.9277778,44.9,10.6
2006-02-11,34,274.2611111,71.8,10.64
2006-02-12,26.2,269.9277778,80.9,10.68
2006-02-13,29.7,271.8722222,55.3,10.72
2006-02-14,36.5,275.65,53,10.76
2006-02-15,44.1,279.8722222,59,10.8
2006-02-16,47,281.4833333,66.3,10.84
2006-02-17,47.6,281.8166667,55.9,10.88
2006-02-18,27.7,270.7611111,44.3,10.92
2006-02-19,23.4,268.3722222,36.2,10.96
2006-02-20,30.8,272.4833333,32.9,11
2006-02-21,37.3,276.0944444,37.9,11.04
2006-02-22,39,277.0388889,54.5,11.08
2006-02-23,41.6,278.4833333,70,11.12
2006-02-24,35.6,275.15,40.6,11.16
2006-02-25,37.5,276.2055556,39.7,11.2
2006-02-26,24,268.7055556,44,11.24
2006-02-27,25.7,269.65,39.5,11.28
2006-02-28,29.6,271.8166667,42.3,11.32
2006-03-01,34.8,274.7055556,37,11.36
2006-03-02,32,273.15,66.5,11.4
2006-03-03,28.1,270.9833333,51.6,11.44
2006-03-04,33.7,274.0944444,50,11.48
